robotId,timestamp,avenue,street,sirens
0,2024-05-14 06:39:29,14,10,0
1,2024-05-14 06:39:36,14,11,50
2,2024-05-14 06:39:30,11,11,0
3,2024-05-14 06:39:30,10,11,0
4,2024-05-14 06:39:30,8,10,0
5,2024-05-14 06:39:52,13,11,72
6,2024-05-14 06:39:29,12,11,0
7,2024-05-14 06:39:52,3,1,0
8,2024-05-14 06:39:52,7,7,36
